objectid,title,date,start_year,end_year,date_type
ihl_artist_345,Suzuki Harunobu 鈴木春信,1724-1770,1724,1770,birth-death
ihl_artist_346,Takahashi Shōtei,1871-1945,1871,1945,birth-death
ihl_artist_347,Takahashi Shōtei,1871-1945,1871,1945,birth-death
ihl_artist_348,Takasawa Keiichi 高沢圭一,1914-1984,1914,1984,birth-death
ihl_artist_349,Takeda Keihō 竹田敬方,1873-1942,1873,1942,birth-death
ihl_artist_350,Tamaya Shunki 玉舎春輝,1880-1947,1880,1947,birth-death
ihl_artist_351,Tamura Fumio 田村文雄,b. 1941,1941,,birth
ihl_artist_352,Tamura Saiten 田村彩天,1889-1933,1889,1933,birth-death
ihl_artist_353,Tanaka Hisara 田中比左良,1890-1974,1890,1974,birth-death
ihl_artist_354,Tanaka Ryōzō 田中良三,1874-1946,1874,1946,birth-death
ihl_artist_355,Taniguchi Tōsen 谷口桃僊,,,,unknown
ihl_artist_356,Terashima Shimei 寺島紫明,1892-1975,1892,1975,birth-death
ihl_artist_357,Tōjirō Ōshita 大下藤次郎,1870-1911,1870,1911,birth-death
ihl_artist_358,Tomioka Tessai 富岡鉄斎,1836-1924,1836,1924,birth-death
ihl_artist_359,Torii Kiyonobu 鳥居清信,1664-1729,1664,1729,birth-death
ihl_artist_360,Toshishige 年重,active c. 1888,1888,1888,active
ihl_artist_361,Tsuchiya Hiroshi 土谷傳,active c. 1920-1936,1920,1936,active
ihl_artist_362,Tsunajima Kamekichi 綱島亀吉,active 1866-1918,1866,1918,active
ihl_artist_363,Hōei 峰栄,active 1894,1894,1894,active
ihl_artist_364,Suzuki Kinsen 鈴木錦泉,1867-1945,1867,1945,birth-death
ihl_artist_365,Utagawa Hiroshige 歌川広重,1797-1858,1797,1858,birth-death
ihl_artist_366,Utagawa Toyokuni 歌川豊国,1769-1825,1769,1825,birth-death
ihl_artist_367,Yoshikawa Kanpō 吉川観方,1894-1979,1894,1979,birth-death
ihl_artist_368,Ki Chikudō 紀竹堂,-1825,,1825,death
ihl_artist_369,Kikuchi Yūichi 菊地友一,1912-1993,1912,1993,birth-death
ihl_artist_370,Yoda Chikkoku 依田竹谷,1790-1843,1790,1843,birth-death
ihl_artist_371,Yonehide 米英,active 1904,1904,1904,active
ihl_artist_372,Ogami Nanryō 小上南嶺,(1893-1966),1893,1966,birth-death
ihl_artist_373,Kagawa Tokio 香川軍男,(1915-2002),1915,2002,birth-death
