objectid,title,date,start_year,end_year,date_type
ihl_artist_111,Oda Tomiya 小田富弥,1896-1990,1896,1990,birth-death
ihl_artist_112,Ogata Gekkō 尾形月耕,1859-1920,1859,1920,birth-death
ihl_artist_113,Ogawa Hyōe (Heibei) 小川兵衛,active c. 1915,1915,1915,active
ihl_artist_114,Ogawa Usen 小川芋銭,1868-1938,1868,1938,birth-death
ihl_artist_115,Ogyū Tensen 荻生天泉,1882-1947,1882,1947,birth-death
ihl_artist_116,Ohara Koson 小原古邨 (Shōson 祥邨),1877-1945,1877,1945,birth-death
ihl_artist_117,Oka Shikanosuke 岡鹿之助,1898-1978,1898,1978,birth-death
ihl_artist_118,Okada Saburōsuke 岡田三郎助,1869-1939,1869,1939,birth-death
ihl_artist_119,Okano Sakae 岡野栄,1890-1942,1890,1942,birth-death
ihl_artist_120,Okubo Yutaka 大久保担,1924-2008,1924,2008,birth-death
ihl_artist_121,Ōkura Kōtō 大倉耕涛,1873-1910,1873,1910,birth-death
ihl_artist_122,Onchi Kōshirō 恩地孝四郎,1891-1955,1891,1955,birth-death
ihl_artist_123,Ōshiro Sadao 大城貞夫,1908-1981,1908,1981,birth-death
ihl_artist_124,Ōta Chōu 太田聴雨,1896-1958,1896,1958,birth-death
ihl_artist_125,Ōuchi Makoto 大内マコト,1926-1989,1926,1989,birth-death
ihl_artist_126,Yuki Rei 由木礼,1928-2003,1928,2003,birth-death
ihl_artist_127,Ryōji Chōmei 料治潮鳴,1899-1982,1899,1982,birth-death
ihl_artist_128,Saitō Kiyoshi 斎藤清,1907-1997,1907,1997,birth-death
ihl_artist_129,Sakamoto Hanjirō 坂本繁二郎,1882-1969,1882,1969,birth-death
ihl_artist_130,Sakamoto Isamu 坂本勇,b. 1931,1931,,birth
ihl_artist_131,Sasajima Kihei 笹島喜平,1906-1993,1906,1993,birth-death
ihl_artist_132,Sekino Jun’ichirō 関野準一郎,1914-1988,1914,1988,birth-death
ihl_artist_133,Sekisai Kuniyasu 石斎国保,active 1880–1890s,1880,1890,active
ihl_artist_134,Shima Tamami 島珠実,1937-1999,1937,1999,birth-death
